soundname	intervalname	F1	F2	F3	speaker
US	hid	418.6	2549.2	3061.3	US
US	head	777.2	2040	2799.4	US
US	heed	248.9	2706	3877.8	US
US	had	1000.9	1787.1	2999.7	US
US	had	942.6	1839	2561.6	US
US	heed	309.5	2685.9	3729.9	US
US	head	728.1	2061.3	2782.4	US
US	hid	496.5	2452.9	3071.2	US
US	hid	476.7	2522	3063.8	US
US	head	753.3	2099.5	2784.8	US
US	heed	310.5	2705.2	3782	US
US	had	979.4	1880.4	2651.2	US
US	had	962.5	1914	2761.5	US
US	head	759.9	2066.8	2773.7	US
US	heed	325.5	2665.1	3650.1	US
US	hid	550.2	2525.5	3804.2	US
US	hid	465.8	2494.3	3139.4	US
US	head	737.4	2065.7	2673.6	US
US	heed	286.2	2690	3624.3	US
US	had	903.8	1892.7	2512	US
US	hid	442.9	2639.2	3254	US
US	head	739.9	2179.7	2901.4	US
US	heed	332.5	2704.3	3723.9	US
US	had	888.4	1925.2	2591.4	US
US	head	736.7	2172.2	2966.5	US
US	had	902.5	1970	2797.2	US
US	heed	321.7	2614	3523.1	US
US	head	729.6	2174.3	2831.6	US
US	hid	520.8	2387	2949.1	US
US	hid	400.8	2575.7	3108.4	US
US	head	766.9	2029.5	2811.2	US
US	heed	288.5	2741.8	3934.3	US
US	had	910.3	1816.8	2492	US
US	had	1015.2	1859.9	2772.4	US
US	heed	347.8	2720.6	3540.4	US
US	head	702.1	2107.4	2780	US
US	hid	511.3	2513.6	3341.8	US
US	hid	440.8	2419.2	2997.8	US
US	head	761.9	2073.9	2863.5	US
US	had	930.6	1864.3	2576.5	US
US	had	956.3	1833.1	2414.3	US
US	heed	319.8	2680.5	3693.1	US
US	head	732.6	2135.2	2768.6	US
US	hid	434.4	2458	3049.2	US
US	hid	406.6	2457.1	3005.9	US
US	head	738.4	2054.4	2728.4	US
US	heed	297.4	2632.7	3062.2	US
US	had	861.4	1847.1	2596.4	US
US	had	890.2	1851.8	2698.2	US
US	heed	300.4	2698.1	3771	US
US	head	724.6	2096.6	2799.9	US
US	hid	461	2424.1	3047.6	US
US	head	746.2	2051.1	2867.2	US
US	heed	339.4	2677.3	3759.9	US
US	hid	470.5	2413.4	3002.6	US
US	had	922.6	1886.7	2788.4	US
US	heed	280	2710.7	3882.3	US
US	head	712.4	2145.7	2808.8	US
US	had	968.7	1957.1	3025	US
US	hid	485.1	2405.7	3074.9	US
US	hid	417.2	2377.2	3038.4	US
US	head	729.9	2128.9	2833.7	US
US	heed	354.3	2677.7	2903.8	US
US	had	911.8	1861	2553.4	US
US	heed	324.1	2697.7	3649.9	US
US	head	706.5	2107.5	2808	US
US	hid	477.2	2433.9	3048.6	US
US	hid	396	2420.7	3169.4	US
US	head	710.1	2000.2	2705.9	US
US	heed	330.6	2667.2	3062.3	US
US	had	945.4	1849.8	2633.3	US
